Région,Localisation,Type de bien,Nature,Superficie,Salles de bains,Chambres,Prix
Tunis,Tunis,villa,À Vendre,327.0,3.0,4.0,1150000.0
Tunis,Tunis,villa,À Vendre,668.0,3.0,4.0,684148.6223103639
Sousse,Sousse,villa,À Vendre,570.0,3.0,6.0,796441.1518404114
Sfax,Sfax,Maison,À Louer,130.0,1.0,4.0,150000.0
Tunis,Tunis,Maison,À Vendre,110.0,1.0,3.0,180000.0
Sousse,Sousse,villa,À Vendre,228.0,1.0,4.0,288000.0
Tunis,Tunis,Appartement,À Vendre,112.0,1.0,2.0,220000.0
Ariana,Ariana,villa,À Vendre,326.0,1.0,2.0,370000.0
Tunis,Tunis,Villa,À Vendre,236.0,2.0,5.0,1100000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,117.0,1.0,3.0,270000.0
Tunis,Tunis,villa,À Vendre,500.0,2.0,1.0,571247.5881899854
Bizerte,Bizerte,villa,À Vendre,115.0,2.0,3.0,300000.0
Monastir,Monastir,Maison,À Vendre,203.0,1.0,2.0,125000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,120.0,1.0,2.0,240000.0
Tunis,Tunis,villa,À Vendre,268.0,3.0,5.0,570000.0
Tunis,Tunis,villa,À Vendre,300.0,3.0,3.0,260000.0
Tunis,Tunis,villa,À Vendre,450.0,4.0,5.0,1200000.0
Ariana,Ariana,villa,À Vendre,800.0,6.0,9.0,1050000.0
Nabeul,Nabeul,Maison,À Vendre,300.0,1.0,3.0,250000.0
Ariana,Ariana,villa,À Vendre,425.0,2.0,7.0,807603.2001331388
Nabeul,Nabeul,villa,À Vendre,280.0,3.0,4.0,725000.0
Tunis,Tunis,villa,À Vendre,420.0,3.0,4.0,684105.5618894014
Sfax,Sfax,villa,À Vendre,630.0,2.0,3.0,305000.0
Sfax,Sfax,villa,À Vendre,1276.0,2.0,4.0,850000.0
Sfax,Sfax,villa,À Vendre,870.0,1.0,3.0,566550.4192275181
Sfax,Sfax,villa,À Vendre,621.6,2.0,3.0,780000.0
Sfax,Sfax,villa,À Vendre,800.0,2.0,4.0,725000.0
Bizerte,Bizerte,villa,À Vendre,215.0,2.0,5.0,601325.1837548872
Ariana,Ariana,villa,À Vendre,150.0,2.0,8.0,178000.0
Tunis,Tunis,Maison,À Vendre,200.0,1.0,4.0,370000.0
Sfax,Sfax,Maison,À Louer,465.0,2.0,4.0,267124.8783596528
Monastir,Monastir,Villa,À Vendre,320.0,3.0,6.0,217000.0
Sousse,Sousse,villa,À Vendre,450.0,2.0,4.0,721149.5857870824
Nabeul,Nabeul,villa,À Vendre,400.0,3.0,7.0,750000.0
Ariana,Ariana,villa,À Vendre,435.0,1.0,3.0,240000.0
Ariana,Ariana,villa,À Vendre,700.0,3.0,4.0,694916.0099894466
Ariana,Ariana,villa,À Vendre,300.0,3.0,5.0,732447.6914895962
Ben Arous,Ben_Arous,Maison,À Vendre,180.0,2.0,4.0,280000.0
Sfax,Sfax,villa,À Vendre,400.0,3.0,6.0,679409.1397240732
Sfax,Sfax,villa,À Vendre,650.0,2.0,5.0,470000.0
Ben Arous,Ben_Arous,Villa,À Vendre,350.0,3.0,6.0,566186.0973279919
Tunis,Tunis,Appartement,À Vendre,100.0,2.0,3.0,320000.0
Tunis,Tunis,villa,À Vendre,456.0,4.0,7.0,796983.6767534609
Ariana,Ariana,villa,À Vendre,672.0,3.0,5.0,940000.0
Tunis,Tunis,Villa,À Vendre,228.0,4.0,5.0,450000.0
Le Kef,Le_Kef,Villa,À Vendre,576.0,2.0,8.0,680000.0
Sousse,Sousse,Appartement,À Vendre,400.0,1.0,3.0,280000.0
Ariana,Ariana,villa,À Vendre,700.0,4.0,4.0,694984.4727711639
Tunis,Tunis,villa,À Vendre,402.0,2.0,2.0,585000.0
Tunis,Tunis,villa,À Vendre,414.0,3.0,7.0,720000.0
Ben Arous,Ben_Arous,villa,À Vendre,500.0,1.0,3.0,573975.7909640014
La Manouba,La_Manouba,Maison,À Vendre,100.0,2.0,5.0,274757.1220765965
Tunis,Tunis,villa,À Vendre,365.0,3.0,8.0,834500.5473673667
Sousse,Sousse,villa,À Vendre,600.0,2.0,8.0,850000.0
Ariana,Ariana,villa,À Vendre,178.0,1.0,3.0,350000.0
Sfax,Sfax,Appartement,À Vendre,500.0,1.0,3.0,450000.0
Tunis,Tunis,villa,À Vendre,360.0,1.0,3.0,750000.0
Tunis,Tunis,villa,À Vendre,450.0,3.0,7.0,796914.1721873656
La Manouba,La_Manouba,Maison,À Vendre,250.0,2.0,8.0,387586.5680621232
Nabeul,Nabeul,Maison,À Vendre,133.0,1.0,2.0,155000.0
Ariana,Ariana,villa,À Vendre,402.0,2.0,3.0,950000.0
Kairouan,Kairouan,villa,À Vendre,380.0,2.0,5.0,680000.0
Sfax,Sfax,villa,À Vendre,420.0,3.0,5.0,641811.4785466423
Ben Arous,Ben_Arous,villa,À Vendre,463.0,1.0,3.0,530000.0
Sousse,Sousse,Appartement,À Vendre,200.0,2.0,4.0,479568.1999816815
Le Kef,Le_Kef,Villa,À Vendre,230.0,3.0,7.0,439061.8603901309
Ben Arous,Ben_Arous,villa,À Vendre,220.0,2.0,6.0,686799.0385174798
Nabeul,Nabeul,villa,À Vendre,87.0,2.0,2.0,95000.0
Ben Arous,Ben_Arous,villa,À Vendre,400.0,3.0,5.0,780000.0
Ariana,Ariana,Appartement,À Vendre,190.0,2.0,3.0,780000.0
Ben Arous,Ben_Arous,villa,À Vendre,172.0,2.0,4.0,611588.4366584057
Ben Arous,Ben_Arous,villa,À Vendre,235.0,2.0,3.0,573998.2416023514
Ariana,Ariana,villa,À Vendre,420.0,2.0,4.0,694798.9306034169
Sousse,Sousse,villa,À Vendre,420.0,2.0,4.0,650000.0
Tunis,Tunis,villa,À Vendre,253.0,2.0,4.0,600000.0
Nabeul,Nabeul,Appartement,À Vendre,100.0,1.0,2.0,120000.0
Tunis,Tunis,villa,À Vendre,400.0,3.0,6.0,850000.0
Tunis,Tunis,villa,À Vendre,201.0,1.0,2.0,680000.0
Tunis,Tunis,villa,À Vendre,700.0,3.0,5.0,721755.3122857383
Tunis,Tunis,villa,À Vendre,757.0,1.0,3.0,520000.0
Nabeul,Nabeul,Maison,À Vendre,420.0,2.0,4.0,397524.4528231481
Nabeul,Nabeul,Maison,À Vendre,150.0,2.0,4.0,300000.0
Ben Arous,Ben_Arous,villa,À Vendre,800.0,3.0,4.0,611765.9395383669
Tunis,Tunis,villa,À Vendre,1050.0,2.0,6.0,759348.7540514362
Nabeul,Nabeul,villa,À Vendre,320.0,3.0,4.0,780000.0
Sousse,Sousse,villa,À Vendre,300.0,2.0,5.0,1250000.0
Ariana,Ariana,villa,À Vendre,235.0,1.0,3.0,657097.2123446828
Ben Arous,Ben_Arous,villa,À Vendre,232.0,2.0,5.0,435000.0
Ariana,Ariana,villa,À Vendre,469.0,1.0,7.0,807542.3771035278
Ariana,Ariana,Appartement,À Vendre,188.0,2.0,3.0,830000.0
Tunis,Tunis,Maison,À Vendre,200.0,2.0,5.0,384575.2171430937
Ben Arous,Ben_Arous,Maison,À Vendre,189.0,2.0,2.0,199364.3038006777
Mahdia,Mahdia,Maison,À Vendre,1421.0,1.0,1.0,190000.0
Nabeul,Nabeul,Maison,À Vendre,189.0,1.0,3.0,250000.0
Tunis,Tunis,villa,À Vendre,661.0,2.0,4.0,650000.0
Bizerte,Bizerte,Maison,À Vendre,148.0,1.0,1.0,280000.0
Tunis,Tunis,Appartement,À Vendre,414.0,1.0,3.0,900000.0
Ariana,Ariana,villa,À Vendre,430.0,2.0,3.0,850000.0
Nabeul,Nabeul,villa,À Vendre,350.0,2.0,4.0,800000.0
Nabeul,Nabeul,villa,À Vendre,840.0,5.0,5.0,772428.7168628769
Nabeul,Nabeul,villa,À Vendre,360.0,3.0,5.0,850000.0
Monastir,Monastir,villa,À Vendre,1255.0,2.0,6.0,508530.9563116865
Bizerte,Bizerte,Villa,À Vendre,400.0,4.0,7.0,530000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,120.0,2.0,2.0,294839.1621534338
Tunis,Tunis,villa,À Vendre,225.0,2.0,3.0,450000.0
Nabeul,Nabeul,Maison,À Vendre,150.0,2.0,6.0,480000.0
Sousse,Sousse,Maison,À Vendre,314.0,2.0,3.0,830000.0
Tunis,Tunis,villa,À Vendre,344.0,2.0,3.0,670000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,200.0,2.0,4.0,480000.0
Bizerte,Bizerte,villa,À Vendre,609.0,1.0,3.0,520000.0
Tunis,Tunis,villa,À Vendre,520.0,2.0,7.0,796857.8635567264
Nabeul,Nabeul,villa,À Vendre,200.0,3.0,1.0,250002.0
Tunis,Tunis,Maison,À Vendre,105.0,1.0,3.0,170000.0
Ben Arous,Ben_Arous,villa,À Vendre,210.0,2.0,6.0,380000.0
Ben Arous,Ben_Arous,villa,À Vendre,400.0,2.0,8.0,320000.0
Ben Arous,Ben_Arous,villa,À Vendre,168.0,1.0,4.0,230000.0
Sousse,Sousse,Appartement,À Vendre,70.0,1.0,2.0,404274.8976210557
Sfax,Sfax,Appartement,À Vendre,220.0,1.0,4.0,230000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,117.0,1.0,3.0,150000.0
Ariana,Ariana,villa,À Vendre,640.0,4.0,4.0,694974.0549273826
Ariana,Ariana,Villa,À Vendre,300.0,5.0,5.0,611880.641086966
Tunis,Tunis,villa,À Vendre,334.0,5.0,7.0,797030.9565861563
Nabeul,Nabeul,Maison,À Vendre,120.0,1.0,2.0,322201.6332384755
Ariana,Ariana,villa,À Vendre,636.0,2.0,4.0,320000.0
Ben Arous,Ben_Arous,Maison,À Vendre,150.0,1.0,3.0,236890.20321252715
Ben Arous,Ben_Arous,villa,À Vendre,402.0,3.0,4.0,611696.8345079512
Nabeul,Nabeul,villa,À Vendre,240.0,2.0,4.0,450000.0
Sousse,Sousse,Maison,À Vendre,520.0,1.0,4.0,420000.0
Bizerte,Bizerte,villa,À Vendre,538.0,3.0,8.0,750000.0
Nabeul,Nabeul,villa,À Vendre,345.0,2.0,4.0,734536.2475145052
Tunis,Tunis,villa,À Vendre,270.0,3.0,7.0,550000.0
Nabeul,Nabeul,villa,À Vendre,217.0,2.0,5.0,650000.0
Sfax,Sfax,villa,À Vendre,140.0,1.0,4.0,604024.8025868707
Tunis,Tunis,villa,À Vendre,370.0,3.0,3.0,1250000.0
Nabeul,Nabeul,villa,À Vendre,536.0,3.0,3.0,850000.0
Sfax,Sfax,villa,À Vendre,870.0,1.0,2.0,420000.0
Monastir,Monastir,villa,À Vendre,200.0,2.0,5.0,600000.0
Ariana,Ariana,villa,À Vendre,238.0,3.0,4.0,370000.0
Nabeul,Nabeul,villa,À Vendre,211.0,6.0,8.0,470000.0
Sousse,Sousse,Maison,À Vendre,125.0,2.0,2.0,160000.0
Sousse,Sousse,villa,À Vendre,500.0,1.0,3.0,460000.0
Le Kef,Le_Kef,villa,À Vendre,230.0,1.0,2.0,200000.0
Tunis,Tunis,Appartement,À Vendre,95.0,2.0,4.0,680000.0
Ben Arous,Ben_Arous,villa,À Vendre,582.0,1.0,6.0,950000.0
Nabeul,Nabeul,villa,À Vendre,900.0,4.0,5.0,772370.671924941
Tunis,Tunis,villa,À Vendre,402.0,2.0,4.0,684033.9737545496
Ben Arous,Ben_Arous,Villa,À Vendre,520.0,4.0,8.0,600000.0
Tunis,Tunis,Maison,À Vendre,100.0,1.0,3.0,309287.1237043585
Gabès,Gabs,villa,À Vendre,402.0,2.0,5.0,485698.7793883585
Sfax,Sfax,villa,À Vendre,684.0,2.0,5.0,641788.8542775626
Sousse,Sousse,villa,À Vendre,402.0,2.0,4.0,721141.2515120575
Ariana,Ariana,villa,À Vendre,230.0,2.0,5.0,732367.0745568008
Nabeul,Nabeul,Maison,À Vendre,230.0,1.0,5.0,435024.13399481477
Bizerte,Bizerte,Maison,À Vendre,121.0,2.0,4.0,280000.0
Sfax,Sfax,villa,À Vendre,920.0,3.0,9.0,735000.0
Tunis,Tunis,Appartement,À Vendre,205.0,2.0,3.0,580000.0
Nabeul,Nabeul,Appartement,À Vendre,433.0,1.0,2.0,850000.0
Nabeul,Nabeul,villa,À Vendre,834.0,2.0,4.0,734621.1529413224
Zaghouan,Zaghouan,villa,À Vendre,400.0,1.0,4.0,230000.0
Tunis,Tunis,Appartement,À Vendre,155.0,2.0,3.0,570000.0
Sousse,Sousse,villa,À Vendre,260.0,2.0,3.0,683515.4621564173
Médenine,Mdenine,villa,À Vendre,500.0,2.0,3.0,494703.1264124699
Ariana,Ariana,villa,À Vendre,380.0,1.0,3.0,410000.0
Nabeul,Nabeul,villa,À Vendre,90.0,2.0,2.0,300000.0
Nabeul,Nabeul,villa,À Vendre,269.0,1.0,3.0,400000.0
Ariana,Ariana,Appartement,À Vendre,207.0,2.0,3.0,265000.0
Sousse,Sousse,Maison,À Vendre,189.0,1.0,4.0,384010.9883888331
Bizerte,Bizerte,villa,À Vendre,430.0,1.0,3.0,600000.0
Sfax,Sfax,villa,À Vendre,1133.0,1.0,4.0,520000.0
Tunis,Tunis,villa,À Vendre,479.0,3.0,6.0,900000.0
Sousse,Sousse,Maison,À Vendre,500.0,3.0,6.0,1200000.0
Ben Arous,Ben_Arous,Maison,À Vendre,260.0,1.0,5.0,312111.57017684187
Tunis,Tunis,Maison,À Vendre,90.0,1.0,2.0,271684.2536050371
Ben Arous,Ben_Arous,Appartement,À Vendre,125.0,2.0,3.0,332441.16409910674
Ben Arous,Ben_Arous,Appartement,À Vendre,200.0,1.0,4.0,350000.0
La Manouba,La_Manouba,villa,À Vendre,400.0,2.0,7.0,630000.0
La Manouba,La_Manouba,villa,À Vendre,500.0,3.0,6.0,649520.987938297
Tunis,Tunis,villa,À Vendre,450.0,2.0,4.0,684042.3080295746
Bizerte,Bizerte,Maison,À Vendre,504.0,1.0,3.0,109999.0
Sfax,Sfax,villa,À Vendre,350.0,1.0,3.0,566460.1312480806
Kairouan,Kairouan,Maison,À Vendre,340.0,1.0,3.0,410000.0
Sousse,Sousse,villa,À Vendre,465.0,2.0,4.0,1250000.0
Nabeul,Nabeul,villa,À Vendre,450.0,3.0,4.0,400000.0
Zaghouan,Zaghouan,villa,À Vendre,610.0,4.0,5.0,790000.0
Tunis,Tunis,villa,À Vendre,749.0,3.0,6.0,759364.9539835176
Nabeul,Nabeul,villa,À Vendre,500.0,2.0,3.0,700000.0
Ariana,Ariana,Maison,À Vendre,110.0,1.0,2.0,145000.0
Tunis,Tunis,Villa,À Vendre,230.0,6.0,8.0,713978.519597946
Ben Arous,Ben_Arous,Appartement,À Vendre,220.0,2.0,4.0,370058.7928104516
Tunis,Tunis,villa,À Vendre,140.0,1.0,4.0,683920.0197216542
Nabeul,Nabeul,Maison,À Vendre,189.0,1.0,6.0,472618.1489269221
Nabeul,Nabeul,villa,À Vendre,700.0,4.0,4.0,1050000.0
Monastir,Monastir,villa,À Vendre,209.0,1.0,4.0,235000.0
Ariana,Ariana,Maison,À Vendre,230.0,2.0,4.0,357741.12376869255
Bizerte,Bizerte,villa,À Vendre,150.0,1.0,4.0,380000.0
Bizerte,Bizerte,Maison,À Vendre,160.0,1.0,2.0,151418.9529108798
Ariana,Ariana,Maison,À Vendre,116.0,2.0,5.0,395322.4636575327
Ben Arous,Ben_Arous,Maison,À Vendre,190.0,2.0,4.0,269000.0
Gabès,Gabs,villa,À Vendre,400.0,2.0,7.0,270000.0
Ben Arous,Ben_Arous,Maison,À Vendre,100.0,1.0,3.0,236881.52167604276
Gabès,Gabs,Maison,À Vendre,500.0,2.0,6.0,186292.11199580884
Médenine,Mdenine,villa,À Vendre,490.0,2.0,5.0,569903.6576892221
Nabeul,Nabeul,Maison,À Vendre,200.0,1.0,2.0,330000.0
Nabeul,Nabeul,villa,À Vendre,834.0,3.0,4.0,734689.6157230397
Tunis,Tunis,villa,À Vendre,700.0,2.0,4.0,684085.7157119967
Mahdia,Mahdia,Appartement,À Vendre,300.0,1.0,4.0,350000.0
Tunis,Tunis,villa,À Vendre,740.0,5.0,6.0,759500.3168703851
Sousse,Sousse,villa,À Vendre,587.0,4.0,9.0,1050000.0
Ariana,Ariana,villa,À Vendre,150.0,1.0,3.0,657082.4537326593
Sousse,Sousse,Villa,À Vendre,500.0,4.0,10.0,826198.0196730839
Tunis,Tunis,villa,À Vendre,118.0,2.0,2.0,350000.0
Nabeul,Nabeul,villa,À Vendre,485.0,2.0,4.0,734560.5558166615
Ariana,Ariana,Villa,À Vendre,300.0,3.0,8.0,630000.0
La Manouba,La_Manouba,villa,À Vendre,409.0,3.0,8.0,550000.0
Tunis,Tunis,villa,À Vendre,300.0,2.0,5.0,650000.0
Nabeul,Nabeul,villa,À Vendre,480.0,2.0,2.0,680000.0
Sfax,Sfax,Maison,sale,189.0,1.0,4.0,267008.49349654175
Ariana,Ariana,villa,À Vendre,459.0,2.0,4.0,694805.7022018747
Ariana,Ariana,villa,À Vendre,528.0,2.0,6.0,770019.9503062721
Tunis,Tunis,villa,À Vendre,486.0,2.0,2.0,608846.2911517944
Bizerte,Bizerte,villa,À Vendre,315.0,3.0,5.0,360000.0
Ariana,Ariana,villa,À Vendre,121.0,2.0,2.0,619544.7474311912
Ben Arous,Ben_Arous,villa,À Vendre,562.0,3.0,5.0,649325.7492167257
Ariana,Ariana,Appartement,À Vendre,300.0,2.0,4.0,453240.11679287517
Sousse,Sousse,villa,À Vendre,280.0,2.0,6.0,570000.0
Siliana,Siliana,Maison,À Vendre,110.0,1.0,3.0,320050.6915073882
Ariana,Ariana,villa,À Vendre,110.0,1.0,1.0,135000.0
Médenine,Mdenine,Maison,À Vendre,300.0,1.0,2.0,119973.98669670694
Ben Arous,Ben_Arous,villa,À Vendre,400.0,1.0,3.0,500000.0
Ariana,Ariana,Appartement,À Vendre,111.0,1.0,2.0,260000.0
Sfax,Sfax,villa,À Vendre,402.0,2.0,4.0,604138.7566197661
Médenine,Mdenine,villa,À Vendre,359.0,3.0,3.0,500000.0
Nabeul,Nabeul,villa,À Vendre,600.0,5.0,4.0,734785.9116957274
Ariana,Ariana,Maison,À Vendre,140.0,1.0,4.0,120000.0
Tunis,Tunis,Maison,À Vendre,189.0,1.0,4.0,346903.71063132526
Tunis,Tunis,Maison,À Vendre,120.0,2.0,5.0,384561.32668471866
Ariana,Ariana,Villa,À Vendre,330.0,3.0,8.0,350000.0
Sousse,Sousse,villa,À Vendre,120.0,3.0,3.0,470000.0
Tunis,Tunis,Maison,À Vendre,150.0,5.0,6.0,450000.0
Nabeul,Nabeul,Appartement,À Vendre,200.0,1.0,1.0,170000.0
Nabeul,Nabeul,villa,À Vendre,890.0,2.0,3.0,870000.0
Ariana,Ariana,villa,À Vendre,400.0,1.0,3.0,200000.0
Nabeul,Nabeul,Maison,À Vendre,150.0,2.0,3.0,359876.43873410794
Nabeul,Nabeul,Appartement,À Vendre,106.0,1.0,2.0,190000.0
Tunis,Tunis,villa,À Vendre,102.0,2.0,3.0,310000.0
Tunis,Tunis,villa,À Vendre,500.0,2.0,6.0,750000.0
Ariana,Ariana,villa,À Vendre,240.0,4.0,4.0,950000.0
Ben Arous,Ben_Arous,villa,À Vendre,100.0,1.0,3.0,573906.3386721264
Nabeul,Nabeul,villa,À Vendre,600.0,2.0,3.0,690000.0
Sfax,Sfax,Maison,À Vendre,240.0,2.0,6.0,280000.0
Tunis,Tunis,Appartement,À Vendre,110.0,1.0,2.0,380000.0
Jendouba,Jendouba,villa,À Vendre,600.0,1.0,5.0,555989.877710929
Ariana,Ariana,villa,À Vendre,1100.0,3.0,6.0,770187.7298653708
Ben Arous,Ben_Arous,Appartement,À Vendre,160.0,1.0,3.0,332378.77839292854
Sousse,Sousse,Appartement,À Vendre,150.0,1.0,4.0,479491.05566347984
Tunis,Tunis,villa,À Vendre,350.0,3.0,4.0,1250000.0
Nabeul,Nabeul,villa,À Vendre,320.0,2.0,4.0,990000.0
Nabeul,Nabeul,villa,À Vendre,200.0,3.0,4.0,750000.0
Nabeul,Nabeul,Maison,À Vendre,450.0,1.0,3.0,230000.0
Monastir,Monastir,villa,À Vendre,402.0,2.0,4.0,433180.5817152139
Nabeul,Nabeul,villa,À Vendre,210.0,4.0,3.0,697048.5991374075
Ben Arous,Ben_Arous,villa,À Vendre,529.0,4.0,7.0,1200000.0
Zaghouan,Zaghouan,villa,À Vendre,402.0,1.0,4.0,580000.0
Nabeul,Nabeul,villa,À Vendre,1053.0,4.0,5.0,1100000.0
Nabeul,Nabeul,villa,À Vendre,450.0,4.0,4.0,1250000.0
Sousse,Sousse,Maison,À Vendre,277.0,1.0,3.0,249000.0
Sousse,Sousse,Appartement,À Vendre,314.0,1.0,3.0,441918.397311124
Ben Arous,Ben_Arous,Maison,À Vendre,630.0,2.0,6.0,950000.0
Bizerte,Bizerte,Maison,À Vendre,162.0,2.0,6.0,301892.29812215467
Ariana,Ariana,villa,À Vendre,500.0,4.0,6.0,700000.0
Médenine,Mdenine,Maison,À Vendre,189.0,1.0,4.0,195156.9812697607
Ariana,Ariana,Villa,À Vendre,440.0,4.0,9.0,280000.0
Nabeul,Nabeul,villa,À Vendre,481.0,1.0,3.0,696890.2647200008
Nabeul,Nabeul,villa,À Vendre,571.0,4.0,6.0,809914.6812068983
Nabeul,Nabeul,villa,À Vendre,224.0,2.0,4.0,734515.238196213
La Manouba,La_Manouba,Maison,À Vendre,240.0,2.0,6.0,312382.5641707773
Médenine,Mdenine,villa,À Vendre,519.0,2.0,3.0,450000.0
Médenine,Mdenine,villa,À Vendre,158.0,2.0,3.0,494643.7447029168
Ariana,Ariana,villa,À Vendre,220.0,2.0,3.0,200000.0
Médenine,Mdenine,villa,À Vendre,550.0,4.0,6.0,520000.0
Sousse,Sousse,Maison,À Vendre,215.0,1.0,3.0,225000.0
Ariana,Ariana,villa,À Vendre,120.0,2.0,2.0,210000.0
Tunis,Tunis,villa,À Vendre,888.0,2.0,8.0,1200000.0
Nabeul,Nabeul,villa,À Vendre,385.0,3.0,4.0,734611.6555254101
Sousse,Sousse,villa,À Vendre,1000.0,2.0,5.0,980000.0
Ben Arous,Ben_Arous,villa,À Vendre,402.0,2.0,3.0,365000.0
Ben Arous,Ben_Arous,Maison,À Vendre,500.0,2.0,6.0,349822.8381257087
Ariana,Ariana,villa,À Vendre,300.0,2.0,3.0,240000.0
Nabeul,Nabeul,Villa,À Vendre,400.0,3.0,5.0,580000.0
Monastir,Monastir,Maison,,189.0,1.0,2.0,70000.0
Ariana,Ariana,villa,À Vendre,630.0,2.0,4.0,400000.0
Ariana,Ariana,villa,À Vendre,402.0,2.0,3.0,650000.0
Sfax,Sfax,Maison,À Vendre,110.0,1.0,3.0,229393.64287687192
Sousse,Sousse,Maison,À Vendre,150.0,1.0,3.0,220000.0
Nabeul,Nabeul,villa,À Vendre,700.0,4.0,5.0,1050000.0
Tunis,Tunis,villa,À Vendre,230.0,4.0,5.0,721742.1686245026
Sousse,Sousse,Appartement,À Vendre,120.0,1.0,3.0,441884.7129495646
Bizerte,Bizerte,Maison,À Vendre,200.0,2.0,4.0,226696.62850583368
Monastir,Monastir,Appartement,À Vendre,471.0,2.0,4.0,191654.58411258316
Sfax,Sfax,villa,,402.0,2.0,4.0,604138.7566197661
Ben Arous,Ben_Arous,Appartement,À Vendre,175.0,2.0,3.0,332449.8456355911
Ben Arous,Ben_Arous,villa,À Vendre,430.0,2.0,6.0,750000.0
Sousse,Sousse,villa,À Vendre,100.0,2.0,4.0,721088.8150316918
Tunis,Tunis,Appartement,À Vendre,192.0,2.0,3.0,270000.0
Tunis,Tunis,villa,À Vendre,266.0,4.0,4.0,730000.0
Ariana,Ariana,Villa,À Vendre,470.0,2.0,5.0,980000.0
Ben Arous,Ben_Arous,villa,À Vendre,1440.0,4.0,8.0,1200000.0
Nabeul,Nabeul,Maison,À Vendre,107.0,2.0,5.0,435071.2401967805
Nabeul,Nabeul,villa,À Vendre,402.0,3.0,4.0,799999.0
Ariana,Ariana,villa,À Vendre,402.0,1.0,5.0,480000.0
Tunis,Tunis,villa,À Vendre,670.0,2.0,9.0,872086.1757502286
Nabeul,Nabeul,villa,À Vendre,700.0,5.0,4.0,1050000.0
Ben Arous,Ben_Arous,villa,À Vendre,437.0,3.0,5.0,780000.0
Ariana,Ariana,villa,À Vendre,480.0,4.0,4.0,1150000.0
Ben Arous,Ben_Arous,villa,À Vendre,340.0,1.0,2.0,750000.0
La Manouba,La_Manouba,Appartement,À Vendre,210.0,2.0,4.0,332661.926537942
Ariana,Ariana,villa,À Vendre,378.0,1.0,6.0,769925.4429151018
Nabeul,Nabeul,villa,À Vendre,779.0,2.0,3.0,697010.4694591651
Nabeul,Nabeul,villa,À Vendre,400.0,2.0,3.0,696944.6634126136
Nabeul,Nabeul,villa,À Vendre,205.0,2.0,4.0,645000.0
Béja,Bja,villa,À Vendre,278.0,1.0,5.0,557592.1709479182
Sfax,Sfax,villa,À Vendre,878.0,1.0,3.0,1250000.0
Ben Arous,Ben_Arous,villa,À Vendre,402.0,2.0,4.0,220000.0
Tunis,Tunis,villa,À Vendre,250.0,1.0,3.0,190000.0
Tunis,Tunis,Maison,,189.0,3.0,4.0,347040.63619475986
Bizerte,Bizerte,villa,À Vendre,402.0,2.0,4.0,563756.5189093142
Sousse,Sousse,villa,À Vendre,506.0,2.0,4.0,721159.309107945
Tunis,Tunis,Maison,À Vendre,100.0,2.0,3.0,315000.0
La Manouba,La_Manouba,villa,À Vendre,500.0,3.0,4.0,574318.7203542478
Ariana,Ariana,Maison,À Vendre,200.0,1.0,2.0,330000.0
Nabeul,Nabeul,Maison,À Vendre,460.0,1.0,3.0,359861.80147859384
Monastir,Monastir,Maison,À Vendre,185.0,2.0,4.0,295000.0
Nabeul,Nabeul,villa,À Vendre,1200.0,4.0,8.0,885226.1625199209
Tunis,Tunis,villa,À Vendre,750.0,6.0,6.0,850000.0
Ariana,Ariana,villa,À Vendre,1250.0,4.0,5.0,1100000.0
Ariana,Ariana,villa,À Vendre,170.0,2.0,5.0,732356.6567130195
Sousse,Sousse,villa,À Vendre,638.0,2.0,7.0,833985.6297403374
Jendouba,Jendouba,Maison,À Vendre,189.0,1.0,6.0,250000.0
Ben Arous,Ben_Arous,Maison,À Vendre,126.5,1.0,2.0,175000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,220.0,1.0,3.0,230000.0
Ariana,Ariana,villa,À Vendre,275.0,1.0,3.0,300000.0
Ariana,Ariana,villa,À Vendre,380.0,3.0,3.0,990000.0
Ben Arous,Ben_Arous,villa,À Vendre,190.0,1.0,4.0,170000.0
Sousse,Sousse,villa,À Vendre,160.0,1.0,3.0,260000.0
Ben Arous,Ben_Arous,villa,À Vendre,324.0,3.0,7.0,724486.6926871091
Nabeul,Nabeul,Maison,À Vendre,140.0,1.0,3.0,359806.2396450938
Sousse,Sousse,villa,À Vendre,1132.0,4.0,6.0,796607.1950922131
Sousse,Sousse,villa,À Vendre,740.0,5.0,7.0,834208.7284199174
Ben Arous,Ben_Arous,Villa,À Vendre,485.0,4.0,10.0,1100000.0
Ariana,Ariana,villa,,402.0,2.0,4.0,694795.8052502824
Ariana,Ariana,villa,À Vendre,220.0,1.0,2.0,190000.0
Ben Arous,Ben_Arous,villa,À Vendre,436.0,3.0,4.0,611702.7379527605
Ben Arous,Ben_Arous,villa,À Vendre,1220.0,2.0,8.0,762174.9368312166
Tunis,Tunis,Maison,À Vendre,189.0,1.0,3.0,230000.0
Sfax,Sfax,Maison,À Vendre,400.0,1.0,3.0,229443.99578848132
Ben Arous,Ben_Arous,Maison,À Vendre,70.0,2.0,4.0,274545.909327894
Ariana,Ariana,Maison,À Vendre,250.0,2.0,4.0,357744.5963832863
