Région,Localisation,Type de bien,Nature,Superficie,Salles de bains,Chambres,Prix,Date_De_Modification,Annonce
Ben Arous,Ben_Arous,villa,À Vendre,1053,2,5,1500000,2024-12-17,À VENDRE VILLA S+5 DANS LA QUIÈTUDE DE RADES MONGIL
Ben Arous,Ben_Arous,villa,À Vendre,445,2,5,1300000,2024-12-17,À VENDRE SPACIEUSE VILLA S+5 AUX ABORDS DE LA FORÊT DE RADES
Ben Arous,Ben_Arous,villa,À Vendre,735,4,7,1150000,2024-12-17,À VENDRE SPLENDIDE VILLA EN PLEIN COEUR DE RADES
Ben Arous,Ben_Arous,villa,À Vendre,444,1,3,550000,2024-12-17,À VENDRE VILLA S+3 À BOUMHEL BASSATINE CITÉ EL WAFA
Tunis,Tunis,villa,À Vendre,459,2,4,650000,2024-12-17,À VENDRE VILLA R+1 DANS QUARTIER BELLEVUE À EL OUARDIA
Ariana,Ariana,N/A,À Vendre,374,5,4,0,2024-12-17,à vendre un triplex avec piscine à la Soukra
Ben Arous,Ben_Arous,Maison,À Vendre,148,2,4,370000,2024-12-17,À VENDRE MAISON D’ANGLE S+4 À RADES PLAGE
Ben Arous,Ben_Arous,Maison,À Vendre,170,1,3,370000,2024-12-17,À VENDRE MAISON S+3 EN PLEIN CENTRE DE RADES
Ben Arous,Ben_Arous,Maison,À Vendre,450,3,3,580000,2024-12-17,À VENDRE MAISON S+3 À 200M DE LA MER À RADES
Ben Arous,Ben_Arous,Maison,À Vendre,302,2,3,370000,2024-12-17,À VENDRE MAISON S+3 À RADES PLAGE
Ben Arous,Ben_Arous,Maison,À Vendre,309,2,3,650000,2024-12-17,À VENDRE CHARMANTE MAISON S+3 AVEC JARDIN À RADES
Ben Arous,Ben_Arous,Maison,À Vendre,174,3,7,400000,2024-12-17,À VENDRE MAISON R+2 À RADES CITÉ ENNOUR
Ben Arous,Ben_Arous,Maison,À Vendre,183,2,5,680000,2024-12-17,À VENDRE MAISON DE RAPPORT R+2 À EZZAHRA
Ben Arous,Ben_Arous,Maison,À Vendre,285,1,4,550000,2024-12-17,À VENDRE MAISON R+1 À RADES PLAGE AVENUE TAIEB MHIRI
Ben Arous,Ben_Arous,Maison,À Vendre,289,2,5,620000,2024-12-17,À VENDRE MAISON À DEUX NIVEAUX SÉPARÉS À RADES PLAGE
Ben Arous,Ben_Arous,Maison,À Vendre,208,3,7,450000,2024-12-17,À VENDRE MAISON DE RAPPORT (3 APPARTEMENTS) À RADES MRAH
Ben Arous,Ben_Arous,Maison,À Vendre,341,3,6,650000,2024-12-17,À VENDRE MAISON R+1 À RADES
Ben Arous,Ben_Arous,Maison,À Vendre,650,5,8,1000000,2024-12-17,À VENDRE MAISON R+1 À RADES MELIANE
Ben Arous,Ben_Arous,Maison,À Vendre,201,2,3,540000,2024-12-17,À VENDRE MAISON STYLE AMÉRICAIN S+3 À RADES PLAGE
Ariana,Ariana,N/A,À Vendre,374,5,4,0,2024-12-17,à vendre un triplex à la Soukra
Ben Arous,Ben_Arous,N/A,À Vendre,550,5,12,800000,2024-12-17,À VENDRE IMMEUBLE DE RAPPORT R+3 À RADES PLAGE
Ben Arous,Ben_Arous,N/A,À Vendre,206,4,8,650000,2024-12-17,À VENDRE IMMEUBLE R+2 À RADES MELIANE 2
Ben Arous,Ben_Arous,N/A,À Vendre,383,3,6,550000,2024-12-17,À VENDRE IMMEUBLE R+2 EN FLANC DE MONTAGNE À HAMMAM-LIF
Nabeul,Nabeul,villa,À Vendre,500,3,3,790000,2024-12-17,""" Villa Domino """
Nabeul,Nabeul,villa,À Vendre,400,4,4,1030000,2024-12-17,"Villa "" Les Mouettes """
Ben Arous,Ben_Arous,villa,À Vendre,417,1,4,480000,2024-12-17,villa megrine 420m2
Nabeul,Nabeul,Maison,À Vendre,90,1,2,0,2024-12-17,A vendre une maison S+2  à Beni Khiar           📞𝟐𝟖𝟐𝟓𝟔𝟕𝟕𝟐📞
Ariana,Ariana,N/A,À Vendre,300,3,5,1000000,2024-12-17,la soukra  chotrana  3
Tunis,Tunis,N/A,À Vendre,657,3,8,2600000,2024-12-17,La marsa
Nabeul,Nabeul,N/A,À Vendre,750,3,4,830000,2024-12-17,Hamamet
Sfax,Sfax,Maison,À Vendre,303,2,5,350000,2024-12-17,2 maisons a vendre
Tunis,Tunis,villa,À Vendre,587,3,5,1800000,2024-12-17,À VENDRE : Villa de charme à Manar 3
Ariana,Ariana,villa,À Vendre,500,2,7,360,2024-12-17,villa à vendre/فيلا للبيع
Tunis,Tunis,villa,À Vendre,800,1,10,0,2024-12-17,opportunité de vente une villa de 3 niveaux  800m2 sur avenue principal a mutuelleville
Ariana,Ariana,villa,N/A,N/A,6,7,950000,2024-12-17,À VENDRE UNE VILLA S+7 À LA SOUKRA ( CHOTRANA 3 )
Ariana,Ariana,villa,À Vendre,2000,5,6,1,2024-12-17,À VENDRE UNE MAGNIFIQUE VILLA DE MAITRE À LA SOUKRA
Tunis,Tunis,villa,À Vendre,662,4,8,1800,2024-12-17,Villa à vendre à La Marsa cité des pins
Ariana,Ariana,villa,À Vendre,420,3,4,1200000,2024-12-17,A Vendre Villa à Ennasr 2
Monastir,Monastir,villa,À Vendre,208,3,5,315000,2024-12-17,Villa proche de la mer à vendre
Nabeul,Nabeul,villa,À Vendre,320,4,3,0,2024-12-17,Majestueuse et luxueuse villa à vendre 1er position à la plage hamem ghzez
Nabeul,Nabeul,villa,À Vendre,500,4,2,830000,2024-12-17,"A vendre à Hammamet, 3 km de la plage ,une villa S+4 de plain-pied"
Nabeul,Nabeul,villa,À Vendre,490,4,4,1250000,2024-12-17,"Villa "" NUSA PENIDA """
Sousse,Sousse,villa,À Vendre,180,1,4,440,2024-12-17,étage de villa haut standing
Bizerte,Bizerte,N/A,À Vendre,154,2,5,350000,2024-12-17,Duplex à Vendre à Cité Jalaa - Bizerte
Ben Arous,Ben_Arous,villa,À Vendre,200,1,3,350000,2024-12-17,A vendre une villa RDC s+3 à nouvelle médina prés hôpital yassminette
Tunis,Tunis,villa,À Vendre,185,1,4,0,2024-12-17,Un beau RC d'une villa
Ariana,Ariana,villa,À Vendre,850,6,8,2200000,2024-12-17,villa avenue piscine à vendre la soukra
Bizerte,Bizerte,villa,À Vendre,600,2,4,1,2024-12-17,Grande villa haut standing A vendre a Demna Bizerte
Nabeul,Nabeul,villa,N/A,N/A,N/A,5,1250000,2024-12-17,"Villa "" MADAGASCAR """
Nabeul,Nabeul,villa,À Vendre,800,4,4,1050000,2024-12-17,"Villa "" APOLLO """
Nabeul,Nabeul,villa,À Vendre,397,4,4,1050000,2024-12-17,"VILLA "" MONA LIZA """
Bizerte,Bizerte,villa,À Vendre,300,2,3,349999,2024-12-17,Villa à Vendre à manzel jemil Bizerte
Ariana,Ariana,villa,À Vendre,400,2,4,900000,2024-12-17,Villa inachevée Ennasr 2 titré
Nabeul,Nabeul,villa,À Vendre,600,4,4,830000,2024-12-17,"Villa "" La Belle des Nuit """
Nabeul,Nabeul,villa,À Vendre,420,3,4,760000,2024-12-17,"Villa "" LA ROSE """
Nabeul,Nabeul,villa,À Vendre,347,4,4,1100000,2024-12-17,"VILLA "" LUCKY """
Tunis,Tunis,Maison,À Vendre,572,1,3,580000,N/A,grande maison à vendre
Monastir,Monastir,villa,À Vendre,916,2,3,680000,N/A,Villa individuelle à vendre
Nabeul,Nabeul,villa,À Vendre,234,3,4,575000,N/A,A vendre villa s4 de 234m² à Hammamet
Nabeul,Nabeul,Maison,À Vendre,269,1,3,400000,N/A,Maison avec piscine en cours de construction à kelibia
Nabeul,Nabeul,villa,À Vendre,426,3,3,1000000,N/A,A vendre Villa de  426m² avec piscine à Hammamet
Nabeul,Nabeul,villa,À Vendre,347,3,4,1100000,N/A,📍A vendre à Hammamet Nord villa très haut standing⭐⭐⭐
Tunis,Tunis,villa,À Vendre,282,2,4,0,N/A,Villa jumlee à vendre à Menzah 9
Ariana,Ariana,Maison,À Vendre,500,2,5,360000,N/A,A VENDRE UNE MAISON S+5 A RAOUED
Nabeul,Nabeul,villa,À Vendre,660,3,3,1470000,N/A,a vendre Villa de luxe avec piscine à Hammamet Nord côté plage
Sousse,Sousse,Maison,À Vendre,360,4,7,549999,N/A,A vendre maison avec deux étages
Ben Arous,Ben_Arous,villa,À Vendre,566,3,3,0,N/A,villa à vendre à Ezzahra
Ariana,Ariana,villa,À Vendre,224,2,4,500,N/A,AR2030; À Vendre : Étage de Villa Haut Standing à Ariena !
Ben Arous,Ben_Arous,Maison,À Vendre,216,2,3,375000,N/A,Maison de 240 m2 sur un terrain de 216 m² à Borj Cedria
Ben Arous,Ben_Arous,villa,À Vendre,418,4,7,790000,N/A,Villa de 418 m² à  Borj Cedria
Ben Arous,Ben_Arous,Maison,À Vendre,420,3,4,590000,N/A,Maison à vendre de 420 m²  à cité AFH Borj Cedria
Ben Arous,Ben_Arous,N/A,À Vendre,180,3,3,319000,N/A,Duplex de 180 m² à Borj Cedria
Ben Arous,Ben_Arous,villa,À Vendre,94,1,N/A,140000,N/A,RDC de Villa Sérène à Vendre à Hammam Lif
Ben Arous,Ben_Arous,Maison,À Vendre,200,1,3,325000,N/A,Maison de 200 m² à  Borj Cedria
Ben Arous,Ben_Arous,Maison,À Vendre,206,1,3,360000,N/A,Maison neuve de 206 m² à Borj Cedria
Sousse,Sousse,villa,À Vendre,792,1,3,1800000,N/A,Une luxueuse villa à vendre à Kantaoui
Ben Arous,Ben_Arous,Maison,À Vendre,622,1,3,430000,N/A,Maison  de 622 m² à Borj Cedria
Ben Arous,Ben_Arous,villa,À Vendre,395,3,3,495000,N/A,Villa de 395 m² à Borj Cedria
Sousse,Sousse,villa,À Vendre,387,2,5,650000,N/A,Une villa inachevée à vendre situé à hammem sousse
Tunis,Tunis,Maison,À Vendre,367,4,4,700000,N/A,A Vendre Des Locaux Commerciaux avec maison au Cité Zouhour 1
Ben Arous,Ben_Arous,N/A,À Vendre,622,1,3,800000,N/A,Immeuble Arum à Vendre à Borj Cedria
Tunis,Tunis,Maison,À Vendre,101,1,2,212000,N/A,A vendre maison à El kram Est
Zaghouan,Zaghouan,N/A,À Vendre,160,3,7,600000,N/A,Immeuble Nocturne à Vendre à Zaghouan
Sousse,Sousse,villa,À Vendre,760,3,6,1,N/A,Villa style américain  bien situé à khezema
Sousse,Sousse,Maison,À Vendre,365,4,6,0,N/A,Maison avec deux étages à sidi abedlhamid
Tunis,Tunis,Maison,À Vendre,378,3,3,1,N/A,À VENDRE UNE MAISON À MENZAH 1
Tunis,Tunis,villa,À Vendre,410,3,4,1200000,N/A,à vendre une villa inachevée à ain Zaghouan Nord
Nabeul,Nabeul,Maison,À Vendre,180,1,2,140000,N/A,Maison inachevée 180 m²  à Kelibia
Ben Arous,Ben_Arous,N/A,À Vendre,210,3,4,350000,N/A,a vendre Superbe duplex situé à Nouvelle Médina
Ben Arous,Ben_Arous,villa,À Vendre,250,3,5,6,N/A,À vendre  villa S+5 très HST  / 98380449
Ariana,Ariana,villa,À Vendre,N/A,2,N/A,950000,N/A,A VENDRE VILLA – LA SOUKRA– TEL 56306032 – FB.6715
Nabeul,Nabeul,villa,À Vendre,550,4,3,870000,N/A,UNE VILLA LUXUEUSE A VENDRE A HAMMAMET
Nabeul,Nabeul,villa,À Vendre,430,3,4,790000,N/A,Une Belle villa  S+4 à Vendre PROCHE DE YASMINE HAMMAMET
Monastir,Monastir,N/A,À Vendre,970,6,6,1,N/A,immeuble 970 m2 tél 22214299
Nabeul,Nabeul,villa,À Vendre,1295,3,6,12345660,N/A,Villa titrée sur grand terrain
Nabeul,Nabeul,Appartement,À Vendre,585,4,8,1799999,N/A,🧐🧐Vente : Villa avec piscine et deux appartements S+2 au 1ér étages à 200m de Carthage Land Hammamet-Sud
Ariana,Ariana,villa,À Vendre,450,5,11,750000,N/A,Villa 3 niveaux Ariana
Tunis,Tunis,Maison,À Vendre,95,2,5,1,N/A,A vendre maison à cité iben khaldoune
Ariana,Ariana,villa,À Vendre,150,6,8,0,2024-12-16,À Vendre villa 3 niveaux chaque étage entre indépendant 98 111 147
Ben Arous,Ben_Arous,N/A,À Vendre,320,2,5,380000,2024-12-16,Duplex S5 Myral à Vendre à Rades Plage
Nabeul,Nabeul,Maison,À Vendre,600,4,6,240000,2024-12-16,Soliman Plage - 2 maisons jumelées - Titre bleu
Ben Arous,Ben_Arous,N/A,À Vendre,381,2,5,580000,2024-12-16,Immeuble Emaras à Vendre à Ben Arous
Ariana,Ariana,villa,À Vendre,391,2,4,849000,2024-12-16,À vendre villa à ennasr
Ariana,Ariana,N/A,À Vendre,200,3,3,560000,2024-12-16,À vendre duplex à ennasr
Ariana,Ariana,villa,À Vendre,402,5,8,890000,2024-12-16,À vendre villa à ennasr
Ariana,Ariana,Appartement,À Vendre,140,2,3,1,2024-12-16,A Vendre un Appartement S+3 à ENNASR 2
Ariana,Ariana,villa,À Vendre,220,1,4,660000,2024-12-16,À vendre villa jumelée à Ennasr
Nabeul,Nabeul,villa,À Vendre,320,4,4,990000,2024-12-16,"VILLA "" SALVADOR """
Nabeul,Nabeul,villa,À Vendre,620,4,4,720000,2024-12-16,"Villa "" CAMÉLIA """
Nabeul,Nabeul,Maison,À Vendre,150,1,2,130000,2024-12-16,Maison 150 m² à cité el bostène Kelibia
Sousse,Sousse,villa,À Vendre,0,2,4,1,2024-12-16,A VENDRE une villa S+4 avec Piscine situé à Hergla
Ben Arous,Ben_Arous,villa,À Vendre,1014,4,6,2400000,2024-12-16,Villa Rose Mini Eden à Vendre à Rades Mongil
Tunis,Tunis,N/A,À Vendre,260,4,6,880000,2024-12-16,Des Duplex à Vendre à Gammarth
Ariana,Ariana,villa,À Vendre,300,0,4,980000,2024-12-16,à vendre villa jumelée à chotrana 3
Ariana,Ariana,villa,À Vendre,1500,0,0,1400000,2024-12-16,Une villa familiale à vendre à la Soukra .En cours de construction.
Ben Arous,Ben_Arous,villa,À Vendre,524,0,3,650000,2024-12-16,Une villa à vendre à Hammam chatt
Ben Arous,Ben_Arous,Maison,N/A,N/A,N/A,2,98000,2024-12-16,A Vendre Maison Mhamdia
La Manouba,La_Manouba,N/A,À Vendre,115,1,3,229000,2024-12-16,Duplex à Vendre
Ben Arous,Ben_Arous,Maison,À Vendre,120,2,5,-3,2024-12-16,A Vendre Maison Mourouj 4 deux étages indépendant
Ariana,Ariana,villa,À Vendre,2200,4,5,2600000,2024-12-16,Villa a vendre à chotrana
Ariana,Ariana,N/A,À Vendre,216,0,3,1,2024-12-16,Un Duplex Neuf  S+3 à vendre à La Soukra
Tunis,Tunis,Maison,À Vendre,250,4,N/A,720000,2024-12-16,A Vendre Maison + Locaux Commerciaux  à L'Omran  Pour Investissement
Tunis,Tunis,Maison,À Vendre,60,4,5,270000,2024-12-16,A vendre une petite maison titre bleu R+ 3 recette de loyer 2000dt/moi ce trouve à Bhar Lazreg 1 en face l'école BOUEBDELI la Marsa
Tunis,Tunis,Maison,À Vendre,260,3,5,320000,2024-12-16,A vendre une maison sur trois niveau bâtie sur terrain 100m2 au le kram ouest
Sousse,Sousse,villa,À Vendre,9000,3,5,1450000,2024-12-16,Villa à vendre
Sfax,Sfax,villa,À Vendre,700,3,4,600000,2024-12-16,Villa de maitre à vendre Kerkennah (Ramla) à 150m de la mer
Nabeul,Nabeul,villa,À Vendre,440,2,4,845000,2024-12-16,Belle Villa S+4 à Hammamet à Vendre Tél/whatsapp : 50499055
Tunis,Tunis,villa,À Vendre,464,3,3,1400000,2024-12-16,Villa S+4 à vendre à Jardin L'Aouina
Ariana,Ariana,villa,À Vendre,300,2,5,970000,2024-12-16,Une Villa S+5 avec piscine à vendre à La Soukra
La Manouba,La_Manouba,N/A,À Vendre,118,2,2,0,2024-12-16,"A vendre DUPLEX à OUED ELLIL ""EL JINENE"""
Ben Arous,Ben_Arous,villa,À Vendre,477,2,4,680000,2024-12-16,A vendre superbe #Villa_style_américain haut standing à El Mourouj 4.
Ben Arous,Ben_Arous,villa,À Vendre,169,3,6,480000,2024-12-16,A vendre superbe villa haut standing de nouvelle construction à A El Mohammedia
Ben Arous,Ben_Arous,villa,À Vendre,444,3,4,480000,2024-12-16,à vendre villa style américain à El Mourouj 3.
Ariana,Ariana,villa,À Vendre,539,2,6,900000,2024-12-16,Villa à Borj louzir
Ariana,Ariana,villa,À Vendre,380,5,4,0,2024-12-16,À VENDRE - VILLA A LA SOUKRA
Ben Arous,Ben_Arous,N/A,À Vendre,100,1,2,115000,2024-12-16,Duplexe RDC S+2 à vendre
Ben Arous,Ben_Arous,villa,À Vendre,460,3,6,450000,2024-12-16,#opportunité a vendre villa sur 4 niveaux a #nouvellemedina
La Manouba,La_Manouba,villa,À Vendre,565,4,9,0,2024-12-16,villa  a vendre
Médenine,Mdenine,villa,À Vendre,450,4,5,1,2024-12-16,grand villa à vendre
Monastir,Monastir,Maison,À Vendre,490,2,2,218000,2024-12-16,Maison jumelé  à vendre
Ariana,Ariana,Maison,À Vendre,90,2,6,360000,2024-12-16,"Maison a vendre, deux etages R+1, à Ariana"
Nabeul,Nabeul,villa,À Vendre,300,5,4,0,2024-12-16,A vendre une villa à Hammamet           📞28256772📞
Sfax,Sfax,villa,À Vendre,829,2,3,850000,2024-12-16,À vendre deux villas 829 m² R+4 à route teniour km1.5 directement sur la route principale
Sfax,Sfax,N/A,À Vendre,1796,1,3,735000,2024-12-16,Borj à vendre à Route el Ain km 6.5 زنقة الكحلاء
Ariana,Ariana,villa,À Vendre,318,1,2,200000000,2024-12-16,Une villa à vendre
Ariana,Ariana,Maison,À Vendre,420,1,5,1111,2024-12-16,Maison villa duplex à vendre
Tunis,Tunis,Maison,À Vendre,70,1,4,80000,2024-12-16,A vendre maison S+3 ( 2 étages ) Lacagna ELouardiya
Ben Arous,Ben_Arous,Maison,À Vendre,120,3,5,0,2024-12-16,une maison deux nuveaux à vendre a El Mourouj 3
Nabeul,Nabeul,villa,À Vendre,506,2,4,740000,2024-12-16,villa à vendre Hammamet sud
Nabeul,Nabeul,Appartement,À Vendre,75,1,1,300000,2024-12-16,appartement à vendre à hammamet 500m de la plage
Ariana,Ariana,villa,À Vendre,400,1,5,450000,2024-12-16,Grande villa titre bleu cite el wafa ariana
Nabeul,Nabeul,Maison,À Vendre,350,3,6,200000,2024-12-16,Maison style arabesque à Kelibia
Ariana,Ariana,villa,À Vendre,306,2,7,0,2024-12-16,A VENDRE UNE VILLA CITE ESSAADA ROUTE RIADH AL ANDALOUS
Ben Arous,Ben_Arous,villa,À Vendre,600,4,5,0,2024-12-15,À vendre Villa mourouj 4
Tunis,Tunis,villa,À Vendre,611,00,000,0,2024-12-15,À VENDRE villa à retaper Menzah 4
Ariana,Ariana,villa,À Vendre,227,2,4,970000,2024-12-15,A VENDRE VILLA JUMELÉE À SOUKRA
Nabeul,Nabeul,Maison,À Vendre,550,4,9,0,2024-12-15,A vendre magnifique villa Duplex a 3 maisons et un local commercial
Nabeul,Nabeul,villa,À Vendre,380,2,4,980000,2024-12-15,A vendre à Hammamet une villa S+4 située dans un quartier résidentiel et calme
Sousse,Sousse,N/A,À Vendre,1100,16,16,0,2024-12-15,immeuble à vendre
Nabeul,Nabeul,Maison,À Vendre,275,0,0,0,2024-12-15,A vendre une maison inachevée à cité diamant Hammamet      📞𝟐𝟖𝟐𝟓𝟔𝟕𝟕𝟐📞
Nabeul,Nabeul,villa,À Vendre,316,2,3,950000,2024-12-15,Villa pieds dans l’eau à plage Hammam Ghzeez
Gafsa,Gafsa,villa,À Vendre,N/A,N/A,5,0,2024-12-15,Villa à vendre
Tunis,Tunis,N/A,À Vendre,96,1,3,350000,2024-12-15,Superbe Duplex se trouvant sur un terrain de 96m2 et avec une bâtie de 186m2 à Vendre à Jardin d'El Menzah.
Sfax,Sfax,Maison,À Vendre,N/A,N/A,N/A,300,2024-12-15,Maison à vendre mahres sfax
Nabeul,Nabeul,villa,À Vendre,245,3,3,670000,2024-12-15,Villa Linda 3
Nabeul,Nabeul,villa,À Vendre,300,3,4,890000,2024-12-15,Villa Bleue
Ariana,Ariana,Maison,À Vendre,480,2,4,0,2024-12-15,maison a vendre
Tunis,Tunis,villa,À Vendre,300,4,4,500000,2024-12-15,2 Villas à vendre ( occasion à ne pas rater ) sur la route X à côté du Bardo et très proche du Manar 1 à bon prix 😍
Ben Arous,Ben_Arous,N/A,À Vendre,160,1,2,198000,2024-12-15,A VENDRE
Nabeul,Nabeul,Maison,À Vendre,280,1,5,380,2024-12-15,Maison double étage (2maisons)
Nabeul,Nabeul,N/A,À Vendre,100,1,2,195000,2024-12-15,Rez de chaussé à 50 mètres corniche  el Marsa Kelibia
Béja,Bja,villa,À Vendre,270,2,6,320,2024-12-15,Villa beja
Tunis,Tunis,Maison,À Vendre,260,3,5,320000,2024-12-15,A vendre une maison sur trois niveau bâtie sur terrain 100m2 au le kram ouest
Tunis,Tunis,N/A,À Vendre,150,7,5,449998,2024-12-14,A VENDRE – UN DUPLEX– LA SOUKRA – TEL 53672333 – FB.7120
Ben Arous,Ben_Arous,Maison,À Vendre,100,1,4,130000,2024-12-14,Maison a vendre a Rades chatt
Nabeul,Nabeul,villa,À Vendre,535,2,4,910,2024-12-14,a vendre villa hammamet nord
Ben Arous,Ben_Arous,villa,À Vendre,436,3,7,1,2024-12-14,A VENDRE VILLA 2 S+7 NEUVE A MEDINA JADIDA 3
Nabeul,Nabeul,Maison,À Vendre,280,3,6,1350000,2024-12-14,Maison pieds dans l’eau à plage Ain Grinz Kelibia
Tunis,Tunis,villa,À Vendre,241,3,6,550000,2024-12-14,A Vendre Villa Au Ksair Said
Nabeul,Nabeul,villa,À Vendre,280,0,4,724999,2024-12-14,"À vendre : Villa de 220 m² sur un terrain de 280 m² à Cité El Wafa, Afh mrezga"
Nabeul,Nabeul,villa,À Vendre,269,2,3,620000,2024-12-14,"À vendre : Villa de 135m² sur un terrain de 269m² à Cité el wafa, Afh mrezga"
Nabeul,Nabeul,villa,À Vendre,364,0,4,1380000,2024-12-14,"À vendre : Villa de style contemporain à Cité el Wafa , Nabeul"
Ariana,Ariana,villa,À Vendre,280,2,4,590000,2024-12-14,"A vendre villa Sidi Fredj, La Soukra"
Monastir,Monastir,villa,À Vendre,1200,3,8,4200000000,2024-12-14,deux villa à vendre situé à Monastir
Sousse,Sousse,villa,À Vendre,600,1,6,850000,2024-12-14,Une villa à vendre situé à sahloul 1
Nabeul,Nabeul,villa,À Vendre,220,2,4,650000,2024-12-14,Une villa A vendre de plain-pied S4 à HAMMAMET
Ben Arous,Ben_Arous,Maison,À Vendre,500,2,6,990000,2024-12-14,Maison a vendre madina jadida
Ariana,Ariana,Maison,À Vendre,350,2,6,0,2024-12-14,"🏡 À VENDRE : Maison spacieuse avec grand terrain et studio indépendant – La Soukra, Tunisie"
Ben Arous,Ben_Arous,Maison,À Vendre,135,1,4,120000,2024-12-14,à vendre Maison à Mhamdia 135 متر
Sousse,Sousse,villa,À Vendre,1200,3,6,2500000,2024-12-14,Villa à Narjes Kantaoui
Tunis,Tunis,Maison,À Vendre,N/A,N/A,N/A,189999,2024-12-14,Maison à vendre - KHAZNADAR BARDO
Ariana,Ariana,villa,À Vendre,N/A,N/A,6,269997,2024-12-14,villa et studio a vendre a ne pas rater
Nabeul,Nabeul,villa,À Vendre,500,1,2,300000,2024-12-14,"Villa "" Le Petit Prince """
Tunis,Tunis,villa,À Vendre,253,N/A,N/A,1230000,2024-12-14,A vendre villa de maître  à la Soukra
Ben Arous,Ben_Arous,N/A,À Vendre,140,2,4,175000,2024-12-14,Duplex S4 Vinose à Vendre à Boumhel
Nabeul,Nabeul,Maison,À Vendre,90,3,4,250,2024-12-14,Deux maisons à vendre à Mz Tamim
Sfax,Sfax,villa,À Vendre,800,2,9,450000,2024-12-14,A vendre une villa avec deux étages route Mahdia KM 5
Nabeul,Nabeul,N/A,À Vendre,230,1,4,185000,2024-12-14,dar arbi en bon état
Monastir,Monastir,N/A,À Vendre,145,1,3,198000,2024-12-14,s+3 a vendre a ksar hellal Independent
Ariana,Ariana,villa,À Vendre,545,2,4,780000,2024-12-14,La Soukra villa 545 m² à vendre
Nabeul,Nabeul,Maison,À Vendre,269,1,3,400000,2024-12-14,Maison avec piscine en cours de construction à kelibia
Tunis,Tunis,Maison,À Vendre,140,1,4,0,2024-12-14,Une maison a vendre
Ben Arous,Ben_Arous,Maison,À Vendre,256,2,4,1,2024-12-14,A vendre maison S+3
